time_s,lat_deg,lon_deg,alt_m,Px_m,Py_m,Pz_m,roll_deg,pitch_deg,yaw_deg,Bx_true_nT,By_true_nT,Bz_true_nT,B_total_true_nT,B_proj_D1_nT,B_proj_D2_nT,B_proj_D3_nT,B_proj_D4_nT,Bx_meas_nT,By_meas_nT,Bz_meas_nT,B_total_meas_nT
76.0,23.0634631769559,72.5714,1076.0,4560.0000000054015,0.0,-76.0,0.0,5.0,0.0,34164.23815536319,388.6784890003346,29919.335983492903,45414.89739498834,37163.23517924524,2090.533991002048,-36743.35020906554,-2434.787094022077,33962.01173657659,330.8814916949251,30042.968716664327,45344.32371386064
77.0,23.06400216612637,72.5714,1077.0,4620.000000005472,0.0,-77.0,0.0,5.0,0.0,34173.513873764045,382.7693050971824,29906.34280635255,45413.267916682045,37231.3684903612,2445.310590772916,-36981.35801410427,-2850.5972308512,34428.2485733005,283.75197488648803,29841.8578636733,45562.27930826003
78.0,23.064541155296844,72.5714,1078.0,4680.000000005543,0.0,-78.0,0.0,5.0,0.0,34155.30937270899,431.3015793652048,29873.169396876103,45378.16026694208,37233.223779867,2375.956658978176,-36855.29150352552,-2784.077489156335,34315.62851038462,340.3709794848387,29846.907853704928,45480.94239232461
79.0,23.06508014446732,72.5714,1079.0,4740.000000005968,0.0,-79.0,0.0,5.0,0.0,34135.44619782643,381.44458168725305,29826.48414347633,45332.03440674868,37059.919971936135,2189.507991606783,-36831.13644862235,-2553.529132845978,34049.56130677083,256.6919494923943,29941.970665902045,45342.696471407806
80.0,23.06561913363779,72.5714,1080.0,4800.000000005685,0.0,-80.0,0.0,5.0,0.0,34049.74502266298,362.0230649395922,29828.116859229736,45268.45206295192,37014.31190120587,2135.1953467683697,-36660.79961733132,-2615.279554518805,33959.27507312988,360.9578691264039,29845.24312857481,45211.73731985453
81.0,23.06615812280826,72.5714,1081.0,4860.000000005756,0.0,-81.0,0.0,5.0,0.0,33968.07995526264,386.2125582134886,29847.87595388728,45220.29759904152,37168.75749434985,2145.978522945285,-36424.618075953455,-2625.8676982421152,33933.136422316406,530.0199285484321,29800.596371815336,45164.30241569162
82.0,23.066697111978733,72.5714,1082.0,4920.000000005827,0.0,-82.0,0.0,5.0,0.0,33935.12193604269,367.8476158994451,29825.666562271832,45180.72817658464,37228.24461643689,2225.688270708144,-36795.70225385714,-2516.688390855975,34106.81857064659,313.30308537966954,29999.79990741761,45424.2361115672
83.0,23.06723610114921,72.5714,1083.0,4980.000000006253,0.0,-83.0,0.0,5.0,0.0,33919.03694383295,330.11261975139024,29789.05888303329,45144.19199272093,36946.26835173251,2168.412186181526,-36796.63079329576,-2888.6989107121094,34121.40534398915,376.6882642093342,29741.81866431907,45265.74835522376
84.0,23.06777509031968,72.5714,1084.0,5040.000000006324,0.0,-84.0,0.0,5.0,0.0,33906.80130234494,319.9102085746069,29739.62443678429,45102.31456077646,36852.90466153346,2295.466218821392,-36757.92519827649,-2547.554488875885,33971.513808084725,150.28473694079997,29777.334844164783,45174.94888028717
85.0,23.06831407949015,72.5714,1085.0,5100.000000006041,0.0,-85.0,0.0,5.0,0.0,33884.94531052041,381.7520799996289,29696.11222088016,45057.67786274223,36895.75873339459,2050.2398405330187,-36502.56732292926,-2683.3856326609903,33832.12743590844,444.41704514742577,29732.687524121287,45042.6804348565
